PROVINCIA,TRANSITORIAS,TEMPORARIAS,PERMANENTES,TOTAL
CIUDAD AUTONOMA DE BS AS,1916,8028,6843,16787
BUENOS AIRES,306,4311,3960,8577
SANTA FE,124,890,1052,2066
CORDOBA,294,818,436,1548
MENDOZA,102,524,406,1032
NEUQUEN,36,547,320,903
CORRIENTES,20,225,331,576
CHUBUT,26,268,257,551
SALTA,27,270,224,521
TIERRA DEL FUEGO,420,45,50,515
MISIONES,2,174,274,450
RIO NEGRO,53,118,104,275
ENTRE RIOS,13,138,97,248
JUJUY,11,100,117,228
SAN LUIS,10,112,81,203
SAN JUAN,19,113,59,191
LA RIOJA,2,51,96,149
TUCUMAN,29,57,62,148
SANTA CRUZ,10,41,36,87
LA PAMPA,7,25,35,67
FORMOSA,0,28,30,58
