CIUDAD AUTONOMA DE BS AS,2568,14461,11969,28998
BUENOS AIRES,271,4823,4488,9582
CORDOBA,365,983,484,1832
NEUQUEN,44,701,331,1076
SANTA FE,117,472,398,987
MENDOZA,145,401,293,839
CHUBUT,22,368,363,753
MISIONES,2,298,302,602
CORRIENTES,42,235,321,598
SALTA,38,352,190,580
JUJUY,13,149,158,320
TUCUMAN,30,186,91,307
RIO NEGRO,30,125,131,286
SAN JUAN,20,131,89,240
TIERRA DEL FUEGO,71,75,86,232
LA RIOJA,6,73,150,229
ENTRE RIOS,3,132,70,205
SANTA CRUZ,3,56,76,135
FORMOSA,0,64,65,129
SAN LUIS,1,75,46,122
LA PAMPA,14,40,32,86
