PROVINCIA,TRANSITORIAS,TEMPORARIAS,PERMANENTES,TOTAL
CIUDAD AUTONOMA DE BS AS,3133,10476,9425,23034
BUENOS AIRES,387,4778,4698,9863
CORDOBA,595,1294,684,2573
NEUQUEN,40,621,356,1017
SANTA FE,137,352,526,1015
MENDOZA,169,392,296,857
TIERRA DEL FUEGO,605,55,66,726
SALTA,34,357,261,652
ENTRE RIOS,43,335,237,615
CHUBUT,24,234,281,539
MISIONES,5,164,311,480
CORRIENTES,20,182,235,437
RIO NEGRO,21,146,125,292
JUJUY,16,129,128,273
LA RIOJA,15,56,142,213
SAN JUAN,13,118,79,210
SAN LUIS,7,130,68,205
TUCUMAN,52,80,69,201
SANTA CRUZ,11,90,58,159
FORMOSA,1,45,80,126
LA PAMPA,9,27,13,49
